Tags,Meaning
julia-pkg,Package manager for the Julia language.
rakudo-star,"rakudo-star is a distribution of rakudo, and bundles the rakudo Perl 6 compiler, the Parrot virtual machine, many modules, and documentation, including the latest draft of a book on Perl 6.  "
corretto,"Amazon Corretto is a no-cost, multiplatform, production-ready distribution of the Open Java Development Kit (OpenJDK)"
geckoview,"Use for questions about using GeckoView, an open-source library that allows you to render web content on Android using the Gecko web engine. Created and maintained by Mozilla and the community open source community. More info https://geckoview.dev/"
spring-data-jpa,Spring Data - JPA is part of the Spring Data umbrella project which makes it easy to implement JPA based repositories
python-3.7,"Version of the Python programming language released in June 27, 2018. For issues that are specific to Python 3.7. Use the more generic [python] and [python-3.x] tags where possible."
npm-package,
r-recipes,recipes is an R package by Max Kuhn and Hadley Wickham for creating and preprocessing design matrices.
deno-lint,
jitsi,"Jitsi is a free and open source VoIP, videoconferencing and instant messaging application for Windows, Linux and Mac OS X."
tornado,Tornado is a scalable web server and web framework for Python specializing in handling thousands of simultaneous connections and real-time services.
watchkit,"WatchKit is an integral part of the Apple Watch experience for third-party applications. It contains the classes for creating Apple Watch applications and it ensures that an Apple Watch application can talk to its corresponding WatchKit extension.
"
mingw-w64,The MinGW-w64 (MinGW fork) project is a complete runtime environment for gcc to produce binaries native to Windows 64-bit and 32-bit operating systems.
annotate,"Use this tag for questions related to annotating plots, e.g. adding descriptive labels or annotations to data points."
rollupjs,Rollup.js is a next-generation JavaScript Transpiler and module bundler
mediadevices,
mapbox-ios,Use when developing iOS apps with a Mapbox SDK. Prefer to use a more specific SDK tag instead. 
python-packaging,Packages are namespaces which contain multiple packages and modules themselves.
ansible-2.x,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy. Avoid writing scripts or custom code to deploy and update your applications— automate in a language that approaches plain English, using SSH, with no agents to install on remote systems"
iso-prolog,ISO/IEC has standardized Prolog. The standard is maintained by ISO/IEC JTC1/SC22/WG17.
skview,SKView is the UIView subclass Sprite Kit uses to render the currently presented scene&#39;s nodes onto. All nodes displayed by Sprite Kit are children (so to speak) of a SKView.
packet-sniffers,A software or a piece of computer hardware that can intercept and log traffic passing over a digital network or part of a network
summernote,Super simple WYSIWYG Editor using Bootstrap.
language-comparisons,Questions comparing two or more programming or markup languages against each other.
delaunay,"A *Delaunay* triangulation is a triangulation such that no vertex of the triangulation is inside the interior of the circumcircle of any triangle of the triangulation.
"
agent,Questions about programming software agents or programming in an agent-oriented environment.
material-design-lite,"Material Design Lite (or MDL for short) is an implementation of Material Design for the web by Google. Take note that Material Design Lite is currently in **limited support**, which means that no further development is taking place. Consider using Material Design Components for the Web instead."
azerothcore,"For PROGRAMMING questions about AzerothCore, the open source MMORPG game-server framework. Non-programming questions are off-topic.

Use this tag for AzerothCore based programming questions such as database programming, c++ questions, script programming, programming custom modules, etc. General support/configuration questions are off-topic.

Stack Overflow should NOT be used to just report bugs, as bugs should be reported as GitHub issues."
